id_site;site;id_alat;lat;lon;elevasi;id_provinsi;id_kabupaten;id_kecamatan;date_created;id_user
15070101a;Muara Sabak Timur;a;-1.17361;103.8403;0;15;1507;150701;2021/01/06 21:19:00;1
15070201a;Nipah Panjang;a;-1.07;104.01;0;15;1507;150702;2021/01/06 21:19:00;1
15070301a;Mendahara;a;-1.0991;103.7653;1;15;1507;150703;2021/01/06 21:19:00;1
15070401a;Rantau Rasau;a;-1.0991;103.5092;7;15;1507;150704;2021/01/06 21:19:00;1
15070501a;Sadu;a;-1.35;104.42;0;15;1507;150705;2021/01/06 21:19:00;1
15070601a;Dendang;a;-1.26;104;0;15;1507;150706;2021/01/06 21:19:00;1
15070701a;Muara Sabak Barat;a;-1.26861;103.7591;26;15;1507;150707;2021/01/06 21:19:00;1
15070702a;Muara Sabak Barat 2;a;-1.22454;103.79808;26;15;1507;150707;2021/01/06 21:19:00;1
15070801a;Kuala Jambi;a;-1.01016;103.471;0;15;1507;150708;2021/01/06 21:19:00;1
15070901a;Mendahara Ulu;a;-1.01153;103.31586;0;15;1507;150709;2021/01/06 21:19:00;1
15071001a;Geragai;a;-1.32361;103.6806;0;15;1507;150710;2021/01/06 21:19:00;1
15071101a;Berbak;a;-1.26092;104.1249;0;15;1507;150711;2021/01/06 21:19:00;1
15080101a;Tanah Tumbuh;a;-1.48239;102.1145;0;15;1508;150801;2021/01/06 21:19:00;1
15080201a;Rantau Pandan;a;-1.70127;102.3119;0;15;1508;150802;2021/01/06 21:19:00;1
15080302a;Muara Bungo;a;-1.5;102.1264;90;15;1508;150803;2021/01/06 21:19:00;1
15080401a;Jujuhan;a;-1.31035;101.7756;0;15;1508;150804;2021/01/06 21:19:00;1
15080501a;Tanah Sepenggal;a;-1.43334;102.045;55;15;1508;150805;2021/01/06 21:19:00;1
15080601a;Pelepat;a;-1.70127;102.3119;84;15;1508;150806;2021/01/06 21:19:00;1
15080801a;Muko-muko;a;-1.34464;102.0102;9;15;1508;150808;2021/01/06 21:19:00;1
15080901a;Pelepat Ilir;a;-1.37462;102.2054;10;15;1508;150809;2021/01/06 21:19:00;1
15081001a;Babeko;a;-1.29058;102.1521;9;15;1508;150810;2021/01/06 21:19:00;1
15081101a;Bathin III;a;-1.48239;102.1145;10;15;1508;150811;2021/01/06 21:19:00;1
15081201a;Bungo Dani;a;-1.51;102.087;10;15;1508;150812;2021/01/06 21:19:00;1
15081301a;Rimbo Tengah;a;-1.31;102.07;19;15;1508;150813;2021/01/06 21:19:00;1
15081401a;Bathin III Ulu;a;-1.40308;102.30916;0;15;1508;150814;2021/01/06 21:19:00;1
15081501a;Pelayang;a;-1.551;101.729;9;15;1508;150815;2021/01/06 21:19:00;1
15081601a;Jujuhan Ilir;a;-1.19708;101.9112;0;15;1508;150816;2021/01/06 21:19:00;1
15081701a;Tanah Sepenggal Lintas;a;-1.403;101.93;9;15;1508;150817;2021/01/06 21:19:00;1
15090101a;Tebo Tengah;a;-1.46478;102.3598;66;15;1509;150901;2021/01/06 21:19:00;1
15090201a;Tebo Illir;a;-1.53581;102.6968;52;15;1509;150902;2021/01/06 21:19:00;1
15090301a;Tebo Ulu;a;-1.23936;102.2383;59;15;1509;150903;2021/01/06 21:19:00;1
15090401a;Rimbo Bujang;a;-1.48239;102.11453;74;15;1509;150904;2021/01/06 21:19:00;1
15090501a;Sumay;a;-1.23936;102.2383;59;15;1509;150905;2021/01/06 21:19:00;1
15090601a;Tujuh Koto;a;-1.16536;102.105;93;15;1509;150906;2021/01/06 21:19:00;1
15090701a;Rimbo Ulu;a;-1.17783;102.1565;93;15;1509;150907;2021/01/06 21:19:00;1
15090801a;Rimbo Ilir;a;-1.2996;102.0273;55;15;1509;150908;2021/01/06 21:19:00;1
15090901a;Tengah Ilir;a;-1.48272;102.6585;56;15;1509;150909;2021/01/06 21:19:00;1
15091001a;Serai Serumpun;a;-1.4494;102.2412;51;15;1509;150910;2021/01/06 21:19:00;1
15091101a;Tujuh Koto Ilir;a;-1.25606;102.1414;59;15;1509;150911;2021/01/06 21:19:00;1
15091201a;Muara Tabir;a;-1.65675;102.5758;40;15;1509;150912;2021/01/06 21:19:00;1
15150901a;Bahar V;a;-2.049;103.415;71;15;1515;151509;2021/01/06 21:19:00;1
15710101a;Telanaipura;a;-1.62003;103.5856;26;15;1571;157101;2021/01/06 21:19:00;1
15710201a;Stamet Jambi;a;-1.63439;103.5508;28;15;1571;157102;2021/01/06 21:19:00;1
15710301a;Jambi Timur;a;-1.63439;103.5508;20;15;1571;157103;2021/01/06 21:19:00;1
15710401a;Pasar Jambi;a;-1.597;103.6019;16;15;1571;157104;2021/01/06 21:19:00;1
15710501a;Pelayangan;a;-1.63439;103.36478;27;15;1571;157105;2021/01/06 21:19:00;1
15710601a;Danau Teluk;a;-1.56922;103.5774;27;15;1571;157106;2021/01/06 21:19:00;1
15710701a;Kota Baru;a;-1.63439;103.5508;32;15;1571;157107;2021/01/06 21:19:00;1
15710801a;Jelutung;a;-1.604;103.609;17;15;1571;157108;2021/01/06 21:19:00;1
15720101a;Sungai Penuh;a;-2.09133;101.3917;800;15;1572;157201;2021/01/06 21:19:00;1
15720201a;Pesisir Bukit;a;-2.03831;101.3715;0;15;1572;157202;2021/01/06 21:19:00;1
15720301a;Hamparan Rawang;a;-2.0236;101.2426;805;15;1572;157203;2021/01/06 21:19:00;1
15720401a;Tanah Kampung;a;-2.04262;101.2609;806;15;1572;157204;2021/01/06 21:19:00;1
15720501a;Kumun Debai;a;-2.05322;101.2502;799;15;1572;157205;2021/01/06 21:19:00;1
16010801a;Pengandonan;a;-4.45156;103.8749;161;16;1601;160108;2021/01/06 21:19:00;1
16010901a;Peninjauan;a;-3.86494;104.38889;45;16;1601;160109;2021/01/06 21:19:00;1
16011401a;Pasar Lama;a;-4.15793;104.19215;61;16;1601;160114;2021/01/06 21:19:00;1
16011402a;Baturaja Timur;a;-4.13278;104.1977;14;16;1601;160114;2021/01/06 21:19:00;1
16012201a;Lubuk Batang;a;-4.01;104.2;83;16;1601;160122;2021/01/06 21:19:00;1
16012801a;Karang Endah;a;-4.32922;104.0179;116;16;1601;160128;2021/01/06 21:19:00;1
16020201a;Tanjung Lubuk;a;-3.53008;104.7578;0;16;1602;160202;2021/01/06 21:19:00;1
16020301a;Pedamaran;a;-3.49606;104.8363;0;16;1602;160203;2021/01/06 21:19:00;1
16020302a;Pedamaran;a;-3.50079;104.8349;0;16;1602;160203;2021/01/06 21:19:00;1
16020401a;P. Panggang;a;-3.04881;103.22336;0;16;1602;160204;2021/01/06 21:19:00;1
16020503a;Kayu Agung 2;a;-3.4075;104.82925;6;16;1602;160205;2021/01/06 21:19:00;1
16020801a;SP. Padang 1;a;-3.29091;104.85782;13;16;1602;160208;2021/01/06 21:19:00;1
16021101a;Tulung Selapan;a;-3.25043;105.30948;0;16;1602;160211;2021/01/06 21:19:00;1
16021201a;Pampangan;a;-3.209;105.0124;0;16;1602;160212;2021/01/06 21:19:00;1
16021301a;Lempuing Induk;a;-3.89467;104.8839;0;16;1602;160213;2021/01/06 21:19:00;1
16022101a;Mesuji Raya;a;-3.75207;105.10251;0;16;1602;160221;2021/01/06 21:19:00;1
16022201a;Lempuing Jaya;a;-3.67;104.84;0;16;1602;160222;2021/01/06 21:19:00;1
16022301a;Sugih Waras;a;-3.57;104.7;0;16;1602;160223;2021/01/06 21:19:00;1
16030101a;Pulau Panggung 2;a;-4.14;103.61;0;16;1603;160301;2021/01/06 21:19:00;1
16030102a;Pandan Enim;a;-3.93;103.82;154;16;1603;160301;2021/01/06 21:19:00;1
16030201a;Muara Enim 1;a;-3.66725;103.7725;0;16;1603;160302;2021/01/06 21:19:00;1
16030204a;Blh Muara Enim;a;-3.67981;103.85608;0;16;1603;160302;2021/01/06 21:19:00;1
16030301a;Suban Jeriji;a;-3.45222;104.0275;43;16;1603;160303;2021/01/06 21:19:00;1
16030302a;Rambang Dangku 1;a;-3.45664;104.0513;18;16;1603;160303;2021/01/06 21:19:00;1
16030303a;Rambang Dangku 2;a;-3.45664;104.0513;0;16;1603;160303;2021/01/06 21:19:00;1
16030401a;Cinta Kasih;a;-3.46362;103.8401;34;16;1603;160304;2021/01/06 21:19:00;1
16030501a;Pendopo;a;-3.28064;103.8419;23;16;1603;160305;2021/01/06 21:19:00;1
16030601a;Gelumbang;a;-3.25447;104.4291;33;16;1603;160306;2021/01/06 21:19:00;1
16030602a;Lembak;a;-3.34;104.35;46;16;1603;160306;2021/01/06 21:19:00;1
16030701a;Lawang Kidul;a;-3.75392;103.8028;0;16;1603;160307;2021/01/06 21:19:00;1
16030801a;Pulau Panggung 1;a;-4.11183;103.62933;754;16;1603;160308;2021/01/06 21:19:00;1
16030802a;Pulau Panggung  2;a;-3.79836;103.79464;65;16;1603;160308;2021/01/06 21:19:00;1
16031101a;Ujan Mas;a;-3.54;103.73;65;16;1603;160311;2021/01/06 21:19:00;1
16031201a;Tanah Abang;a;-3.41;104.09;23;16;1603;160312;2021/01/06 21:19:00;1
16031401a;Beringin;a;-3.66808;104.3091;15;16;1603;160314;2021/01/06 21:19:00;1
16031402a;Lubai;a;-3.73;104.17;59;16;1603;160314;2021/01/06 21:19:00;1
16031601a;Sungai Rotan;a;-3.18725;104.3633;34;16;1603;160316;2021/01/06 21:19:00;1
16032101a;Kelekar;a;-3.28;104.48;49;16;1603;160321;2021/01/06 21:19:00;1
16032201a;Muara Belida;a;-3.52511;103.70608;5;16;1603;160322;2021/01/06 21:19:00;1
16032202a;Muara Belida 2;a;-3.08493;104.6238;30;16;1603;160322;2021/01/06 21:19:00;1
16040101a;Tanjung Sakti Pumu;a;-4.1;103.01;0;16;1604;160401;2021/01/06 21:19:00;1
16040601a;Jarai;a;-3.95478;103.1968;0;16;1604;160406;2021/01/06 21:19:00;1
16040701a;Kota Agung;a;-4.1;103.41;0;16;1604;160407;2021/01/06 21:19:00;1
16040801a;Pulau Pinang;a;-3.91447;103.51269;159;16;1604;160408;2021/01/06 21:19:00;1
16040901a;Merapi;a;-3.75089;103.6693;84;16;1604;160409;2021/01/06 21:19:00;1
16041001a;Lahat;a;-3.76317;103.55575;0;16;1604;160410;2021/01/06 21:19:00;1
16041201a;Pajar Bulan;a;-3.96;103.28;0;16;1604;160412;2021/01/06 21:19:00;1
16041501a;Mulak Ulu;a;-4.03;103.5;0;16;1604;160415;2021/01/06 21:19:00;1
16041601a;Kikim Selatan;a;-3.73;103.24;0;16;1604;160416;2021/01/06 21:19:00;1
16041701a;Kikim Timur;a;-3.67;103.39;0;16;1604;160417;2021/01/06 21:19:00;1
16041801a;Tanjung Aur;a;-3.66;103.35;136;16;1604;160418;2021/01/06 21:19:00;1
16041901a;Kikim Barat;a;-3.62579;103.18355;0;16;1604;160419;2021/01/06 21:19:00;1
16042001a;Pseksu;a;-3.83;103.37;0;16;1604;160420;2021/01/06 21:19:00;1
16042101a;Gumai Talang;a;-3.77578;103.4964;144;16;1604;160421;2021/01/06 21:19:00;1
16042201a;Pagar Gunung;a;-3.97;103.57;0;16;1604;160422;2021/01/06 21:19:00;1
16042301a;Merapi Timur;a;-3.65;103.73;0;16;1604;160423;2021/01/06 21:19:00;1
16042401a;Tanjung Sakti Pumi;a;-4.23056;103.08472;0;16;1604;160424;2021/01/06 21:19:00;1
16042501a;Gumai Ulu;a;-3.92377;103.45013;0;16;1604;160425;2021/01/06 21:19:00;1
16042601a;Merapi Selatan;a;-3.83;103.64;0;16;1604;160426;2021/01/06 21:19:00;1
16042801a;Muara Payang;a;-3.90528;103.14898;0;16;1604;160428;2021/01/06 21:19:00;1
16050102a;Srikaton;a;-3.20283;102.9225;0;16;1605;160501;2021/01/06 21:19:00;1
16050501a;Karang Jaya;a;-2.61475;102.7579;0;16;1605;160505;2021/01/06 21:19:00;1
16050502a;Surulangun;a;-2.62187;102.76057;61;16;1605;160505;2021/01/06 21:19:00;1
16050701a;Muara Rupit;a;-2.71362;102.91034;38;16;1605;160507;2021/01/06 21:19:00;1
16050901a;Muara Beliti 1;a;-3.24589;103.03822;65;16;1605;160509;2021/01/06 21:19:00;1
16050902a;Muara Beliti 2;a;-3.25411;103.04497;60;16;1605;160509;2021/01/06 21:19:00;1
16051001a;Sumber Harta;a;-3.10433;102.94112;58;16;1605;160510;2021/01/06 21:19:00;1
16051301a;Purwodadi;a;-3.11;102.96;0;16;1605;160513;2021/01/06 21:19:00;1
16051701a;Karang Dapo;a;-2.7325;103.0338;0;16;1605;160517;2021/01/06 21:19:00;1
